I,J,CKT,R,X,B,RATEA,RATEB,RATEC,GI,BI,GJ,BJ,ST,MET,LEN,O1,F1,O2,F2,O3,F3,O4,F4
174646,73012,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174647,73012,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174648,73012,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174649,73012,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174650,55207,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174651,73019,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174652,73019,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174653,79077,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174654,79077,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174655,73020,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174656,73020,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174657,73020,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174658,54155,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174659,54158,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174660,55143,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174661,73018,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174662,73018,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174663,54253,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174664,55344,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174665,55344,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174666,55344,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174667,54007,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174668,54036,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174669,54067,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174670,54079,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174671,54271,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174672,54269,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174673,54269,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174674,73036,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174675,73035,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174676,73036,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174677,73035,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174678,79011,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
174679,79011,1 ,0.0001,0.0005,0.0,95059.05,95059.05,99999.0,0.0,0.0,0.0,0.0,1,1,0.0,1,1.0,0,0.0,0,0.0,0,0.0
