I,ID,STATUS,GL,BL
174997,1 ,1,0.0,20.0
174998,1 ,1,0.0,12.0
174999,1 ,1,0.0,-48.0
175000,1 ,1,0.0,-48.0
175001,1 ,1,0.0,-48.0
175002,1 ,1,0.0,-48.0
175003,1 ,1,0.0,-82.645
175004,1 ,1,0.0,-82.645
175005,1 ,1,0.0,-185.95
175006,1 ,1,0.0,-185.95
175007,1 ,1,0.0,8.0
175008,1 ,1,0.0,-48.0
175009,1 ,1,0.0,-48.0
175010,1 ,1,0.0,-82.645
175011,1 ,1,0.0,-82.645
175012,1 ,1,0.0,6.0
175013,1 ,1,0.0,6.0
175014,1 ,1,0.0,6.0
175015,1 ,1,0.0,6.0
175016,1 ,1,0.0,20.0
175017,1 ,1,0.0,5.4
175018,1 ,1,0.0,11.88
175019,1 ,1,0.0,-45.35
175020,1 ,1,0.0,-50.0
175021,1 ,1,0.0,20.0
175022,1 ,1,0.0,10.08
175023,1 ,1,0.0,10.08
175024,1 ,1,0.0,4.52
175025,1 ,1,0.0,4.52
175026,1 ,1,0.0,20.0
175027,1 ,1,0.0,40.0
175028,1 ,1,0.0,40.0
175029,1 ,1,0.0,40.0
175030,1 ,1,0.0,40.0
175031,1 ,1,0.0,18.74
175032,1 ,1,0.0,18.74
175033,1 ,1,0.0,-22.5
175034,1 ,1,0.0,-22.5
175035,1 ,1,0.0,-22.5
175036,1 ,1,0.0,37.71
175037,1 ,1,0.0,37.33
175038,1 ,1,0.0,7.2
175039,1 ,1,0.0,7.2
175040,1 ,1,0.0,-35.0
175041,1 ,1,0.0,-35.0
175042,1 ,1,0.0,9.65
175043,1 ,1,0.0,9.65
175044,1 ,1,0.0,12.0
175045,1 ,1,0.0,25.37
175046,1 ,1,0.0,18.9
175047,1 ,1,0.0,0.5291
175048,1 ,1,0.0,0.5291
175049,1 ,1,0.0,0.5291
175050,1 ,1,0.0,0.5291
175051,1 ,1,0.0,0.5291
175052,1 ,1,0.0,0.5291
175053,1 ,1,0.0,18.5001
175054,1 ,1,0.0,18.5001
175055,1 ,1,0.0,100.0
175056,1 ,1,0.0,-45.35
175057,1 ,1,0.0,-45.35
175058,1 ,1,0.0,-45.35
175059,1 ,1,0.0,-218.0
175060,1 ,1,0.0,1.2
175061,1 ,1,0.0,1.2
175062,1 ,1,0.0,1.2
175063,1 ,1,0.0,1.2
175064,1 ,1,0.0,1.2
175065,1 ,1,0.0,-99.981
175067,1 ,1,0.0,-3.25
175068,1 ,1,0.0,-3.25
175069,1 ,1,0.0,-200.0149
175075,1 ,1,0.0,10.7979
175076,1 ,1,0.0,10.7979
175077,1 ,1,0.0,10.7979
175078,1 ,1,0.0,10.7979
175079,1 ,1,0.0,26.9996
175080,1 ,1,0.0,34.9981
175081,1 ,1,0.0,7.1998
175082,1 ,1,0.0,7.1998
175083,1 ,1,0.0,7.1998
175084,1 ,1,0.0,-190.0
175085,1 ,1,0.0,-190.0
175086,1 ,1,0.0,-50.0
175087,1 ,1,0.0,3.0
175088,1 ,1,0.0,3.0
175089,1 ,1,0.0,3.0
175090,1 ,1,0.0,3.0
175091,1 ,1,0.0,3.0
175092,1 ,1,0.0,3.0
175093,1 ,1,0.0,3.0
175094,1 ,1,0.0,3.0
175095,1 ,1,0.0,3.0
175096,1 ,1,0.0,45.0
175097,1 ,1,0.0,45.0
175098,1 ,1,0.0,68.0
175099,1 ,1,0.0,41.7
175100,1 ,1,0.0,112.5
175101,1 ,1,0.0,67.5
175102,1 ,1,0.0,11.9951
175103,1 ,1,0.0,22.2048
175104,1 ,1,0.0,14.9971
175105,1 ,1,0.0,22.2048
175106,1 ,1,0.0,13.3969
175107,1 ,1,0.0,6.7051
175108,1 ,1,0.0,13.4234
175109,1 ,1,0.0,67.0772
175110,1 ,1,0.0,13.4234
175111,1 ,1,0.0,32.9038
175112,1 ,1,0.0,33.4989
175113,1 ,1,0.0,13.4234
175115,1 ,1,0.0,33.4064
175116,1 ,1,0.0,67.0772
175117,1 ,1,0.0,67.0772
175118,1 ,1,0.0,13.4234
175119,1 ,1,0.0,45.7453
175120,1 ,1,0.0,32.9038
175121,1 ,1,0.0,67.0772
175122,1 ,1,0.0,67.0772
175123,1 ,1,0.0,67.0772
175124,1 ,1,0.0,11.7041
175125,1 ,1,0.0,20.1152
175126,1 ,1,0.0,33.4064
175127,1 ,1,0.0,22.4957
175128,1 ,1,0.0,22.4957
175129,1 ,1,0.0,11.7041
175130,1 ,1,0.0,33.4064
175131,1 ,1,0.0,20.1152
175132,1 ,1,0.0,-49.9905
175133,1 ,1,0.0,-46.7107
175134,1 ,1,0.0,-49.9905
175135,1 ,1,0.0,-46.7107
175141,1 ,1,0.0,18.0
175142,1 ,1,0.0,6.0
175143,1 ,1,0.0,-14.0
175144,1 ,1,0.0,18.0
175145,1 ,1,0.0,18.0
175146,1 ,1,0.0,-14.0
175147,1 ,1,0.0,33.4989
175148,1 ,1,0.0,3.7822
175149,1 ,1,0.0,3.7822
175150,1 ,1,0.0,3.7822
175151,1 ,1,0.0,3.7822
175156,1 ,1,0.0,33.4989
175157,1 ,1,0.0,33.4989
175158,1 ,1,0.0,26.9996
175159,1 ,1,0.0,8.0
175160,1 ,1,0.0,10.0
175161,1 ,1,0.0,1.2
175162,1 ,1,0.0,8.0
175163,1 ,1,0.0,5.9999
175164,1 ,1,0.0,1.2
175165,1 ,1,0.0,-16.0
175173,1 ,1,0.0,6.4935
175174,1 ,1,0.0,6.4935
175175,1 ,1,0.0,11.876
175176,1 ,1,0.0,11.876
175177,1 ,1,0.0,6.4935
175184,1 ,1,0.0,7.1986
175188,1 ,1,0.0,-52.1996
175189,1 ,1,0.0,-106.0
175216,1 ,1,0.0,-154.25
175219,1 ,1,0.0,28.8041
175242,1 ,1,0.0,-99.981
175243,1 ,1,0.0,-89.9829
175244,1 ,1,0.0,-99.981
175245,1 ,1,0.0,-113.5
175254,1 ,1,0.0,11.9977
175261,1 ,1,0.0,3.6
175262,1 ,1,0.0,3.6
175289,1 ,1,0.0,-113.5
175290,1 ,1,0.0,-113.5
175291,1 ,1,0.0,-154.25
175292,1 ,1,0.0,-154.25
